Bank,Year,Assets,NetProfit,NIC,ROA,Size,NIC_A,GDP,INF,EXC
Turkish Bank A.Ş.,2002,300628.0,2563.0,379.0,0.0085254866479502,12.61362889900235,0.0012606942799739,6.4355088481566,,1.5058395256917
Turkish Bank A.Ş.,2003,364052.0,5019.0,713.0,0.0137864920395987,12.805051993558624,0.0019585114214452,5.7990932017934,,1.49306776
Turkish Bank A.Ş.,2004,419345.0,1375.0,1177.0,0.0032789230824261,12.946449249126976,0.0028067581585567,9.9254055215426,8.5982616811527,1.4223412301587
Turkish Bank A.Ş.,2005,468755.0,3918.0,1317.0,0.0083583108446843,13.057835522876536,0.002809570031253,9.1115774633457,8.17916036802,1.3407909448819
Turkish Bank A.Ş.,2006,648805.0,5761.0,2775.0,0.0088794013609636,13.382887488288787,0.0042770940421235,7.0676260779544,9.5972421228844,1.4311067729084
Turkish Bank A.Ş.,2007,747666.0,1507.0,2032.0,0.0020156058988906,13.524711633170886,0.0027177910992341,5.1081851387958,8.7561809097264,1.3015083333333
Turkish Bank A.Ş.,2008,823201.0,10010.0,2232.0,0.0121598491741385,13.620955678272862,0.002711366968699,0.92011821604875,10.444128376489,1.2929075697211
Turkish Bank A.Ş.,2009,1025939.0,1170.0,2962.0,0.001140418679863,13.841118848754348,0.0028871112220122,-4.8826940134567,6.2509766309063,1.5470646825397
Turkish Bank A.Ş.,2010,1029583.315,3357.0,2214.0,0.0032605423486296,13.84466472981029,0.0021503844980238,8.5421984780215,8.5664442055297,1.500364
Turkish Bank A.Ş.,2011,895765.0,691.0,1634.0,0.0007714076794695,13.70543338077078,0.001824139143637,10.979962531414,6.471879671151,1.67
Turkish Bank A.Ş.,2012,956339.0,1534.0,1838.0,0.0016040337160776,13.770867731687389,0.0019219126272169,4.8076269705277,8.8915699651216,1.7924972332016
Turkish Bank A.Ş.,2013,1124901.0,48.0,1347.0,4.267042166377308e-05,13.93320558974843,0.0011974387079396,8.4882568867256,7.493090305477,1.9013088
Turkish Bank A.Ş.,2014,1400025.0,4703.0,2261.0,0.0033592257281119,14.152000651568908,0.0016149711612292,4.6007944759306,8.8545727136432,2.1878581673307
Turkish Bank A.Ş.,2015,1213712.5601700002,3814.0,2528.0,0.0031424244299373,14.009194451702024,0.0020828654847618,5.8055738647945,7.6708536484588,2.7200162055336
Turkish Bank A.Ş.,2016,1508704.0,5220.0,3117.0,0.0034599232188686,14.22676156211384,0.0020660116232209,3.323665083597,7.7751341532833,3.0212450199203
Turkish Bank A.Ş.,2017,1568089.0,4685.0,3208.0,0.0029877130698576,14.265368238485772,0.0020458022471938,7.825857301125,11.144311084076,3.6476845849802
Turkish Bank A.Ş.,2018,1542444.0,5643.0,4069.0,0.0036584796595532,14.248878729402486,0.0026380212182743,3.4681530563351,16.332463898893,4.8134494023904
Turkish Bank A.Ş.,2019,1465247.0,498.0,7578.0,0.0003398744375521,14.1975343869044,0.0051718242726311,1.3016236542392,15.176821572002,5.6708297188755
Turkish Bank A.Ş.,2020,1632933.0,647.0,8230.0,0.0003962195632031,14.305888342329515,0.0050400108271435,1.8030624719627,12.278957446257,7.0090301587302
Turkish Bank A.Ş.,2021,2233990.0,6027.0,3103.0,0.0026978634640262,14.619299782325523,0.0013889945792058,11.811094450408,19.596492691332,8.8853682730924
Turkish Bank A.Ş.,2022,2894668.0,23649.0,-458.0,0.0081698488393142,14.87838098192933,-0.0001582219446237,5.4412251147839,72.308835989121,16.563770238095
Turkish Bank A.Ş.,2023,3676485.0,80770.0,10442.0,0.0219693538801327,15.11746769064273,0.0028402128663655,5.045123697229,53.859408759332,23.743790118577
Turkish Bank A.Ş.,2024,6269470.0,86610.0,-9043.0,0.0138145648675246,15.651202379530702,-0.0014423866770237,3.3276230886148,58.506450730034,32.7921452
Turkland Bank A.Ş.,2002,132968.0,2329.0,3399.0,0.0175154924493111,11.797863776750946,0.0255625413633355,6.4355088481566,,1.5058395256917
Turkland Bank A.Ş.,2003,227717.0,3530.0,5202.0,0.0155016972821528,12.335858908904816,0.0228441442667872,5.7990932017934,,1.49306776
Turkland Bank A.Ş.,2004,367850.0,4911.0,4615.0,0.0133505504961261,12.81543052536041,0.0125458746771781,9.9254055215426,8.5982616811527,1.4223412301587
Turkland Bank A.Ş.,2005,461371.0,7576.0,6085.0,0.0164206246166317,13.041957770557518,0.013188952058105,9.1115774633457,8.17916036802,1.3407909448819
Turkland Bank A.Ş.,2006,526243.0,-2571.0,6778.0,-0.0048855756751158,13.173518362227552,0.0128799813014139,7.0676260779544,9.5972421228844,1.4311067729084
Turkland Bank A.Ş.,2007,636452.0,602.0,5452.0,0.0009458686593804,13.363664281724311,0.0085662390879437,5.1081851387958,8.7561809097264,1.3015083333333
